trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12260F3300098:2024-08-10T00:26:19Z,15:20:00,15:23:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3300098:2024-08-10T00:26:19Z,17:09:00,17:09:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12260F3300100:2024-08-10T00:26:19Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12260F3300100:2024-08-10T00:26:19Z,15:20:00,15:23:00,StopPoint:OCETGV INOUI-87583005,1,,0,0,
OCESN12260F3300100:2024-08-10T00:26:19Z,17:09:00,17:09:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12261F2563573:2024-08-10T00:26:19Z,15:11:00,15:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12261F2563573:2024-08-10T00:26:19Z,17:14:00,17:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F2665669:2024-08-10T00:26:19Z,15:11:00,15:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12261F2665669:2024-08-10T00:26:19Z,17:14:00,17:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F3089489:2024-08-10T00:26:19Z,15:11:00,15:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12261F3089489:2024-08-10T00:26:19Z,17:14:00,17:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F3093595:2024-08-10T00:26:19Z,15:11:00,15:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12261F3093595:2024-08-10T00:26:19Z,17:14:00,17:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F3095127:2024-08-10T00:26:19Z,15:11:00,15:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12261F3095127:2024-08-10T00:26:19Z,17:14:00,17:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F3095128:2024-08-10T00:26:19Z,15:11:00,15:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12261F3095128:2024-08-10T00:26:19Z,17:14:00,17:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F3095129:2024-08-10T00:26:19Z,15:11:00,15:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12261F3095129:2024-08-10T00:26:19Z,17:14:00,17:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12261F3301786:2024-08-10T00:26:19Z,15:11:00,15:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12261F3301786:2024-08-10T00:26:19Z,17:14:00,17:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12263F3133878:2024-08-10T00:26:19Z,16:11:00,16:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12263F3133878:2024-08-10T00:26:19Z,18:14:00,18:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12264F3098473:2024-08-10T00:26:19Z,12:12:00,12:12:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12264F3098473:2024-08-10T00:26:19Z,14:16:00,14:16:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12264F3098475:2024-08-10T00:26:19Z,12:12:00,12:12:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12264F3098475:2024-08-10T00:26:19Z,14:16:00,14:16:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12264F3155568:2024-08-10T00:26:19Z,12:12:00,12:12:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12264F3155568:2024-08-10T00:26:19Z,14:16:00,14:16:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12264F3300434:2024-08-10T00:26:19Z,12:12:00,12:12:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12264F3300434:2024-08-10T00:26:19Z,14:16:00,14:16:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12264F3337262:2024-08-10T00:26:19Z,12:12:00,12:12:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12264F3337262:2024-08-10T00:26:19Z,14:16:00,14:16:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12265F3134003:2024-08-10T00:26:19Z,14:05:00,14:05:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
