trip_headsign,Departure Date,Departure Time,Origin,Arrival Time,Destination,Stops
8816,2024-09-17,17:36:00,Nantes,19:38:00,Paris Montparnasse Hall 1 - 2,"[['Nantes', 0, 0, '17:36:00', 0], ['Paris Montparnasse Hall 1 - 2', '19:38:00', 0, 0, 0]]"
6123,2024-09-17,17:38:00,Paris Gare de Lyon Hall 1 - 2,20:57:00,Marseille Saint-Charles,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '17:38:00', 0], ['Avignon TGV', '20:17:00', 0, '20:20:00', 0], ['Aix-en-Provence TGV', '20:41:00', 0, '20:44:00', 0], ['Marseille Saint-Charles', '20:57:00', 0, 0, 0]]"
6875,2024-09-17,17:38:00,Toulouse Matabiau,21:36:00,Lyon Part Dieu,"[['Toulouse Matabiau', 0, 0, '17:38:00', 0], ['Carcassonne', '18:23:00', 0, '18:26:00', 0], ['Narbonne', '18:54:00', 0, '18:57:00', 0], ['Béziers', '19:10:00', 0, '19:13:00', 0], ['Sète', '19:34:00', 0, '19:37:00', 0], ['Montpellier Sud de France', '19:53:00', 0, '19:57:00', 0], ['Nîmes Pont du Gard', '20:15:00', 0, '20:18:00', 0], ['Valence TGV Rhône-Alpes Sud', '20:54:00', 0, '20:57:00', 0], ['Lyon Part Dieu', '21:36:00', 0, 0, 0]]"
9560,2024-09-17,17:38:00,Mannheim Hbf,20:43:00,Paris Est,"[['Mannheim Hbf', 0, 0, '17:38:00', 0], ['Karlsruhe Hbf', '18:04:00', 0, '18:05:00', 0], ['Strasbourg', '18:48:00', 0, '18:57:00', 0], ['Paris Est', '20:43:00', 0, 0, 0]]"
2833,2024-09-17,17:39:00,Paris Est,19:52:00,Luxembourg,"[['Paris Est', 0, 0, '17:39:00', 0], ['Metz', '19:04:00', 0, '19:10:00', 0], ['Thionville', '19:27:00', 0, '19:30:00', 0], ['Luxembourg', '19:52:00', 0, 0, 0]]"
7616,2024-09-17,17:39:00,Quimper,21:49:00,Paris Montparnasse Hall 1 - 2,"[['Quimper', 0, 0, '17:39:00', 0], ['Lorient', '18:11:00', 0, '18:14:00', 0], ['Auray', '18:30:00', 0, '18:33:00', 0], ['Vannes', '18:43:00', 0, '18:46:00', 0], ['Rennes', '19:44:00', 0, '19:48:00', 0], ['Laval', '20:12:00', 0, '20:15:00', 0], ['Le Mans', '20:45:00', 0, '20:48:00', 0], ['Paris Montparnasse Hall 1 - 2', '21:49:00', 0, 0, 0]]"
8895,2024-09-17,17:39:00,Paris Montparnasse Hall 1 - 2,18:33:00,Le Mans,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '17:39:00', 0], ['Le Mans', '18:33:00', 0, 0, 0]]"
6225,2024-09-17,17:42:00,Paris Gare de Lyon Hall 1 - 2,22:58:00,Perpignan,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '17:42:00', 0], ['Valence TGV Rhône-Alpes Sud', '19:55:00', 0, '19:58:00', 0], ['Nîmes Centre', '20:42:00', 0, '20:46:00', 0], ['Montpellier Saint-Roch', '21:11:00', 0, '21:17:00', 0], ['Sète', '21:33:00', 0, '21:36:00', 0], ['Agde', '21:48:00', 0, '21:51:00', 0], ['Béziers', '22:03:00', 0, '22:06:00', 0], ['Narbonne', '22:19:00', 0, '22:22:00', 0], ['Perpignan', '22:58:00', 0, 0, 0]]"
8088,2024-09-17,17:42:00,Saint-Malo,20:15:00,Paris Montparnasse Hall 1 - 2,"[['Saint-Malo', 0, 0, '17:42:00', 0], ['Dol-de-Bretagne', '17:55:00', 0, '17:58:00', 0], ['Rennes', '18:29:00', 0, '18:35:00', 0], ['Laval', '19:00:00', 0, '19:03:00', 0], ['Paris Montparnasse Hall 1 - 2', '20:15:00', 0, 0, 0]]"
8451,2024-09-17,17:43:00,Paris Montparnasse Hall 1 - 2,20:06:00,Bordeaux Saint-Jean,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '17:43:00', 0], ['Angoulême', '19:27:00', 0, '19:30:00', 0], ['Bordeaux Saint-Jean', '20:06:00', 0, 0, 0]]"
7061,2024-09-17,17:45:00,Paris Gare du Nord,18:48:00,Lille Flandres,"[['Paris Gare du Nord', 0, 0, '17:45:00', 0], ['Lille Flandres', '18:48:00', 0, 0, 0]]"
6949,2024-09-17,17:46:00,Paris Gare de Lyon Hall 1 - 2,21:40:00,Annecy,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '17:46:00', 0], ['Mâcon - Loché TGV', '19:19:00', 0, '19:22:00', 0], ['Chambéry - Challes-les-Eaux', '20:42:00', 0, '20:56:00', 0], ['Aix-les-Bains le Revard', '21:07:00', 0, '21:10:00', 0], ['Annecy', '21:40:00', 0, 0, 0]]"
8420,2024-09-17,17:46:00,Bordeaux Saint-Jean,19:49:00,Paris Montparnasse Hall 1 - 2,"[['Bordeaux Saint-Jean', 0, 0, '17:46:00', 0], ['Paris Montparnasse Hall 1 - 2', '19:49:00', 0, 0, 0]]"
6708,2024-09-17,17:47:00,Mulhouse,20:49:00,Paris Gare de Lyon Hall 1 - 2,"[['Mulhouse', 0, 0, '17:47:00', 0], ['Belfort - Montbéliard TGV', '18:08:00', 0, '18:11:00', 0], ['Besançon Franche-Comté TGV', '18:32:00', 0, '18:35:00', 0], ['Dijon', '19:02:00', 0, '19:06:00', 0], ['Montbard', '19:44:00', 0, '19:47:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '20:49:00', 0, 0, 0]]"
6628,2024-09-17,17:50:00,Lyon Perrache,20:08:00,Paris Gare de Lyon Hall 1 - 2,"[['Lyon Perrache', 0, 0, '17:50:00', 0], ['Lyon Part Dieu', '17:58:00', 0, '18:04:00', 0], ['Le Creusot-TGV', '18:44:00', 0, '18:47:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '20:08:00', 0, 0, 0]]"
